Array Size,Input Type,Randomized Time (s),Deterministic Time (s)
1000,Random,0.0011942386627197266,0.0010347366333007812
1000,Sorted,0.0009698867797851562,0.0013315677642822266
1000,Reverse,0.0018694400787353516,0.0016222000122070312
1000,Duplicates,0.0011315345764160156,0.0016646385192871094
5000,Random,0.006190299987792969,0.006989479064941406
5000,Sorted,0.010579109191894531,0.005635499954223633
5000,Reverse,0.009501218795776367,0.0037453174591064453
5000,Duplicates,0.002819538116455078,0.0032978057861328125
10000,Random,0.01877570152282715,0.01533961296081543
10000,Sorted,0.01343393325805664,0.008834123611450195
10000,Reverse,0.019562244415283203,0.009399175643920898
10000,Duplicates,0.006865501403808594,0.004379987716674805
